iter	LogLikelihoodOfPrediction	Logloss
830	0.8794968685	0.2641943579
831	0.8795288588	0.264190422
832	0.879559906	0.2641866774
833	0.8795629175	0.2641862947
834	0.8795632875	0.2641862401
835	0.8795636193	0.2641862674
836	0.8796383975	0.264177029
837	0.8796798607	0.2641720271
838	0.8796807627	0.2641718905
839	0.8797143624	0.2641677906
840	0.8797525262	0.2641630894
841	0.8797528516	0.264162898
842	0.8797677892	0.2641611488
843	0.8797681023	0.2641611488
844	0.8797683883	0.2641611214
845	0.8798551601	0.2641505711
846	0.8798559939	0.2641503524
847	0.8798562783	0.2641503251
848	0.8798596029	0.2641498877
849	0.8799248518	0.2641418793
850	0.8799248967	0.2641418246
851	0.8799249385	0.2641418793
852	0.8799258433	0.264141688
853	0.879925879	0.264141688
854	0.8799278809	0.264141524
855	0.8799293945	0.2641413053
856	0.8799294257	0.26414136
857	0.8799303132	0.2641412233
858	0.879930596	0.2641412233
859	0.8799605622	0.2641374241
860	0.8799606728	0.2641374514
861	0.8800104139	0.2641314382
862	0.8800408586	0.2641276937
863	0.8800417176	0.2641276663
864	0.8800420024	0.264127721
865	0.8800422681	0.264127639
866	0.8800437023	0.2641273384
867	0.8800445263	0.2641271744
868	0.8800447883	0.2641271197
869	0.8800448007	0.2641271197
870	0.8800448191	0.2641270104
871	0.880044836	0.264126983
872	0.8800448501	0.2641270377
